PlayerID,Player,Team,TeamAbbreviation,Position,AverageSpeed,HighSpeedRuns,Sprints,TotalDistance,DistanceRank,MinutesPlayed
511009,Rafik Belghali,Algeria,ALG,DF,6.27,480,170,38083.65,191,362
339510,Tim Ream,USA,USA,DF,4.36,432,109,38063.62,192,419
404353,Leroy Sane,Germany,GER,MF,6.38,477,221,38060.03,193,360
376230,Sead Kolasinac,Bosnia and Herzegovina,BIH,DF,6.09,339,142,38026.39,194,373
484849,Aleksandar Pavlovic,Germany,GER,MF,7.64,597,165,38018.1,195,300
448107,Gregor Kobel,Switzerland,SUI,GK,3.39,82,13,38006.08,196,673
395050,Aubrey Modiba,South Africa,RSA,DF,5.96,442,154,37864.78,197,381
376285,Aissa Mandi,Algeria,ALG,DF,5.62,331,81,37858.06,198,403
355642,Ryan Mendes,Cabo Verde,CPV,FW,6.2,468,170,37830.2,199,366
482774,Martin Baturina,Croatia,CRO,MF,6.58,489,175,37805.67,200,344
402920,Lautaro Martinez,Argentina,ARG,FW,5.32,369,151,37720.93,201,368
418548,Pedro Neto,Portugal,POR,FW,5.93,368,208,37581.23,202,381
514166,Nathan Ngoy,Belgium,BEL,DF,4.75,353,112,37462.64,203,376
430176,Ryan Gravenberch,Netherlands,NED,MF,5.99,443,129,37432.87,204,374
463128,Diego Gomez,Paraguay,PAR,MF,6.73,492,179,37311.9,205,332
395283,Victor Lindelof,Sweden,SWE,DF,5.72,315,101,37262.4,206,390
405522,Keito Nakamura,Japan,JPN,MF,6.72,497,180,36946.02,207,330
423522,Jordan Bos,Australia,AUS,DF,6.41,396,223,36920.34,208,343
406280,Sergino Dest,USA,USA,DF,6.75,464,210,36917.8,209,335
356532,Chancel Mbemba,Congo DR,COD,DF,5.4,347,135,36904.51,210,409
368649,Joao Cancelo,Portugal,POR,DF,6.46,388,151,36826.9,211,342
483276,Gabriel Gudmundsson,Sweden,SWE,DF,6.21,340,137,36816.96,212,356
430413,Ayase Ueda,Japan,JPN,FW,6.28,385,141,36607.93,213,349
442434,Lewis Ferguson,Scotland,SCO,MF,7.16,451,119,36575.01,214,306
241559,Luka Modric,Croatia,CRO,MF,6.08,401,122,36541.56,215,360
418963,Facundo Medina,Argentina,ARG,DF,3.78,409,121,36406.07,216,350
439641,Reece James,England,ENG,DF,3.75,333,131,36392.78,217,368
433787,Scott Mctominay,Scotland,SCO,MF,7.12,483,135,36353.67,218,306
489520,Nikola Katic,Bosnia and Herzegovina,BIH,DF,6.17,419,139,36234.39,219,353
405545,Ferran Torres,Spain,ESP,FW,6.38,345,197,35975.8,220,349
395113,Ramy Bensebaini,Algeria,ALG,DF,5.3,301,122,35700.14,221,403
483448,Antonio Nusa,Norway,NOR,FW,6.08,411,176,35679.45,222,357
430150,Alexander Isak,Sweden,SWE,FW,5.5,346,155,35655.02,223,389
504199,Mbekezeli Mbokazi,South Africa,RSA,DF,5.31,336,138,35585.09,224,402
430476,Omar Marmoush,Egypt,EGY,FW,5.73,321,165,35476.36,225,369
448290,Willian Pacho,Ecuador,ECU,DF,5.2,284,119,35347.02,226,407
448341,Jeremy Doku,Belgium,BEL,FW,5.22,443,172,35176.6,227,341
384797,Ramin Rezaeian,IR Iran,IRN,DF,6.79,458,170,34994.84,228,309
466624,Folarin Balogun,USA,USA,FW,4.78,329,183,34951.64,229,348
353235,Jordan Ayew,Ghana,GHA,FW,6.47,416,167,34883.48,230,323
511015,Nathaniel Brown,Germany,GER,DF,4.93,354,129,34794.69,231,319
402893,Mathias Olivera,Uruguay,URU,DF,6.63,458,126,34595.17,232,313
479294,Kaishu Sano,Japan,JPN,MF,5.11,411,114,34501.68,233,303
510922,Yan Diomande,Côte d'Ivoire,CIV,FW,5.71,370,178,34347.31,234,361
472908,Vladimir Coufal,Czechia,CZE,DF,6.82,443,154,34224.86,235,301
506279,Caleb Yirenkyi,Ghana,GHA,MF,6.84,460,136,34220.54,236,307
369434,John Stones,England,ENG,DF,3.32,345,93,34211.7,237,380
489300,Martin Experience,Haiti,HAI,DF,6.65,447,187,33997.02,238,306
486147,Noah Sadiki,Congo DR,COD,MF,6.86,420,141,33931.45,239,297
477847,Steven Moreira,Cabo Verde,CPV,DF,6.63,313,113,33908.12,240,346
430831,Ibrahim Sangare,Côte d'Ivoire,CIV,MF,6.63,387,110,33681.96,241,305
269058,James Rodriguez,Colombia,COL,MF,5.95,357,56,33663.08,242,338
386538,Rodrigo Bentancur,Uruguay,URU,MF,6.44,352,145,33644.76,243,313
484087,Arda Guler,Türkiye,TUR,FW,6.43,425,120,33635.28,244,313
379939,Nabil Bentaleb,Algeria,ALG,MF,6.59,405,115,33625.87,245,313
418729,Carlos Harvey,Panama,PAN,DF,6.82,446,118,33573.58,246,295
431212,Ali Olwan,Jordan,JOR,FW,6.79,411,138,33572.53,247,297
371958,Derek Cornelius,Canada,CAN,DF,4.58,368,106,33569.61,248,351
429642,Jamal Musiala,Germany,GER,MF,6.61,412,140,33546.51,249,305
430609,Matheus Cunha,Brazil,BRA,FW,6.2,417,134,33491.79,250,324
405454,Elijah Just,New Zealand,NZL,MF,6.88,460,178,33430.3,251,291
475036,Rayan,Brazil,BRA,FW,4.95,395,135,33427.25,252,327
492363,Felix Nmecha,Germany,GER,MF,6.64,442,141,33325.14,253,299
369761,Miguel Almiron,Paraguay,PAR,MF,6.51,357,129,33177.48,254,306
466838,Danley Jean Jacques,Haiti,HAI,MF,6.87,470,138,33149.8,255,288
431202,Omar Alderete,Paraguay,PAR,DF,4.35,271,94,33031.77,256,363
504990,Kerim Alajbegovic,Bosnia and Herzegovina,BIH,FW,6.35,365,130,32990.98,257,312
373235,Orjan Nyland,Norway,NOR,GK,2.97,60,6,32935.89,258,554
423595,Marko Stamenic,New Zealand,NZL,MF,6.52,415,133,32898.29,259,302
430631,Nico Gonzalez,Argentina,ARG,MF,5.32,322,153,32891.62,260,324
430477,Ahmed Fatouh,Egypt,EGY,DF,3.93,408,166,32856.27,261,301
371736,Saeid Ezatolahi,IR Iran,IRN,MF,6.6,406,65,32836.4,262,298
430763,Luis Romo,Mexico,MEX,MF,5.53,483,143,32815.01,263,284
436572,Arthur Masuaku,Congo DR,COD,DF,5.79,343,114,32800.85,264,340
368660,Guillermo Varela,Uruguay,URU,DF,6.27,352,149,32750.8,265,313
428905,Luis Suarez,Colombia,COL,FW,5.34,267,155,32718.6,266,365
391646,Ritsu Doan,Japan,JPN,MF,6.63,346,152,32576.29,267,295
339987,Mateo Kovacic,Croatia,CRO,MF,6.73,354,108,32503.08,268,293
395084,Hwang Inbeom,Korea Republic,KOR,MF,6.78,372,97,32488.04,269,286
401894,Jamiro Monteiro,Cabo Verde,CPV,MF,6.17,339,109,32481.15,270,314
441170,Ladislav Krejci,Czechia,CZE,DF,6.46,373,81,32407.75,271,301
430697,Jean Ricner Bellegarde,Haiti,HAI,MF,6.64,431,112,32370.02,272,292
430407,Daizen Maeda,Japan,JPN,MF,5.36,432,239,32326.01,273,271
430733,Mikel Merino,Spain,ESP,MF,7.66,568,142,32157.77,274,262
390181,Joe Bell,New Zealand,NZL,MF,7.04,472,112,32154.28,275,275
356731,Raul Jimenez,Mexico,MEX,FW,4.43,295,141,32083.35,276,348
431858,Rayan Ait Nouri,Algeria,ALG,DF,5.89,355,157,32073.2,277,315
433534,Nizar Alrashdan,Jordan,JOR,MF,6.62,407,103,31944.15,278,289
494248,Thalente Mbatha,South Africa,RSA,MF,6.41,446,145,31917.63,279,293
479389,Mohannad Abutaha,Jordan,JOR,MF,6.46,423,170,31861.4,280,296
418975,Thiago Almada,Argentina,ARG,FW,4.4,362,137,31810.05,281,267
385031,Amir Murillo,Panama,PAN,DF,6.27,332,156,31781.32,282,303
494626,Andreas Schjelderup,Norway,NOR,MF,6.44,384,137,31621.18,283,297
489603,Ali Nemati,IR Iran,IRN,DF,6.14,369,108,31613.92,284,309
448131,Ruben Vargas,Switzerland,SUI,FW,6.22,373,170,31605.36,285,314
405920,John Yeboah,Ecuador,ECU,FW,5.74,395,169,31500.85,286,330
464842,Lamine Camara,Senegal,SEN,MF,6.56,453,176,31487.71,287,287
355775,Jackson Irvine,Australia,AUS,MF,7.47,495,125,31483.15,288,255
479072,Merchas Doski,Iraq,IRQ,DF,6.21,307,128,31441.23,289,303
494531,Orlando Gill,Paraguay,PAR,GK,3.4,49,5,31439.42,290,554
463283,Romano Schmid,Austria,AUT,MF,6.71,439,161,31408.46,291,283
486317,Guela Doue,Côte d'Ivoire,CIV,DF,6.19,353,132,31331.08,292,311
433378,Hannibal Mejbri,Tunisia,TUN,MF,6.27,368,102,31221.09,293,298
274078,Chris Wood,New Zealand,NZL,FW,6.11,333,144,31195.3,294,306
411226,Djibril Sow,Switzerland,SUI,MF,4.57,421,147,31183.47,295,276
423874,Lee Hanbeom,Korea Republic,KOR,DF,6.23,365,107,31151.94,296,300
507253,Kwasi Sibo,Ghana,GHA,MF,6.63,447,96,31122.82,297,282
395516,Cesar Montes,Mexico,MEX,DF,5.3,267,84,31113.19,298,349
520039,Marvin Senaya,Ghana,GHA,DF,5.77,285,171,31108.53,299,312
379942,Riyad Mahrez,Algeria,ALG,FW,6.48,382,130,31107.72,300,288
477827,Deroy Duarte,Cabo Verde,CPV,MF,6.26,323,73,31052.7,301,300
369089,Thomas Partey,Ghana,GHA,MF,4.54,359,77,31028.86,302,307
403616,Teboho Mokoena,South Africa,RSA,MF,6.15,423,121,30982.52,303,301
477832,Sidny Lopes Cabral,Cabo Verde,CPV,DF,5.79,257,117,30954.32,304,324
463580,Finn Surman,New Zealand,NZL,DF,6.05,310,103,30931.08,305,306
389437,Ehsan Haddad,Jordan,JOR,DF,6.44,384,118,30918.71,306,287
492315,Lee Gihyuk,Korea Republic,KOR,MF,6.18,388,125,30898.48,307,300
400416,Edgar Yoel Barcenas,Panama,PAN,MF,6.75,426,101,30790.0,308,272
448497,Mohammad Mohebbi,IR Iran,IRN,MF,6.83,470,170,30775.81,309,271
418715,Jose Cordoba,Panama,PAN,DF,6.07,315,114,30753.8,310,303
419223,Oswin Appollis,South Africa,RSA,FW,6.39,405,182,30714.27,311,287
433361,Anis Slimane,Tunisia,TUN,MF,7.16,408,123,30657.94,312,257
483966,Benjamin Tahirovic,Bosnia and Herzegovina,BIH,MF,6.92,429,116,30616.63,313,266
482976,Amar Dedic,Bosnia and Herzegovina,BIH,DF,4.44,356,141,30604.3,314,310
489732,Noni Madueke,England,ENG,FW,3.66,335,147,30578.18,315,315
429608,Seol Youngwoo,Korea Republic,KOR,DF,6.66,309,155,30578.14,316,274
433074,Amir Alammari,Iraq,IRQ,MF,6.6,383,104,30575.01,317,279
430147,Jack Hendry,Scotland,SCO,DF,5.98,349,123,30532.32,318,306
484082,Abdulkerim Bardakci,Türkiye,TUR,DF,6.08,258,93,30419.01,319,300
388475,Mehdi Taremi,IR Iran,IRN,FW,6.23,345,156,30405.34,320,293
441240,Andres Andrade,Panama,PAN,DF,6.0,322,117,30384.6,321,303
419108,Sebastian Caceres,Uruguay,URU,DF,5.81,303,98,30359.66,322,313
520036,Paul Wanner,Austria,AUT,MF,6.64,392,115,30227.02,323,270
385475,Eldor Shomurodov,Uzbekistan,UZB,FW,5.96,274,149,30198.42,324,304
448363,Hannes Delcroix,Haiti,HAI,DF,5.87,298,89,30006.24,325,306
433380,Montassar Talbi,Tunisia,TUN,DF,6.02,275,77,29945.79,326,298
433362,Ali Abdi,Tunisia,TUN,DF,6.13,343,150,29932.97,327,293
477825,Odilon Kossounou,Côte d'Ivoire,CIV,DF,5.86,287,79,29901.79,328,316
466350,Sherel Floranus,Curaçao,CUW,DF,5.97,320,116,29893.73,329,300
371348,Otabek Shukurov,Uzbekistan,UZB,MF,6.72,378,85,29888.17,330,268
310116,Nicolas Otamendi,Argentina,ARG,DF,5.07,336,89,29858.94,331,308
358106,Thibaut Courtois,Belgium,BEL,GK,2.88,55,13,29790.48,332,625
419281,Saud Abdulhamid,Saudi Arabia,KSA,DF,5.93,324,150,29778.02,333,300
494625,Marcus Holmgren Pedersen,Norway,NOR,DF,4.34,322,137,29767.17,334,273
408042,Theo Hernandez,France,FRA,DF,3.88,288,134,29720.25,335,296
